正式法令名,法令番号,略称法令名１,略称法令名２,略称法令名３,略称法令名４
明治五年太政官布告第三百三十七号（改暦ノ布告）,明治五年太政官布告第三百三十七号,改暦の布告,,,
明治八年太政官布告第五十四号（勲章制定ノ件）,明治八年太政官布告第五十四号,勲章制定の件,,,
明治八年太政官達第百五十二号（不用物品等払下ノトキ其管庁所属ノ官吏入札禁止ノ件）,明治八年太政官達第百五十二号,不用物品等払下のとき其管庁所属の官吏入札禁止の件,,,
明治十年太政官達第九十七号（大勲位菊花大綬章及副章製式ノ件）,明治十年太政官達第九十七号,大勲位菊花大綬章及副章製式の件,,,
明治十九年勅令第五十一号（本初子午線経度計算方及標準時ノ件）,明治十九年勅令第五十一号,本初子午線経度計算方及標準時の件,,,
行旅病人及行旅死亡人取扱法,明治三十二年法律第九十三号,行旅法,,,
明治三十二年法律第四十号（失火ノ責任ニ関スル法律）,明治三十二年法律第四十号,失火責任法,失火法,,
明治三十二年勅令第二百七十七号（行旅病人死亡人等ノ引取及費用弁償ニ関スル件）,明治三十二年勅令第二百七十七号,行旅病人死亡人等の引取及費用弁償に関する件,,,
担保付社債信託法,明治三十八年法律第五十二号,担信法,,,
外国裁判所ノ嘱託ニ因ル共助法,明治三十八年法律第六十三号,外嘱法,,,
刑法施行法　抄,明治四十一年法律第二十九号,旧刑法施行法　抄,,,
公有水面埋立法,大正十年法律第五十七号,埋立法,,,
大正十年法律第百二号（定年ニ因ル退職判事検察官ノ恩給ニ関スル法律）,大正十年法律第百二号,定年に因る退職判事検察官の恩給に関する法律,,,
健康保険法,大正十一年法律第七十号,健保法,,,
公有水面埋立法施行令,大正十一年勅令第百九十四号,埋立法施行令,,,
民事訴訟法中改正法律施行法,大正十五年法律第六十二号,民訴法,,,
健康保険法施行令,大正十五年勅令第二百四十三号,健保法施行令,,,
健康保険法施行規則,大正十五年内務省令第三十六号,健保法施行規則,,,
金融機関の信託業務の兼営等に関する法律,昭和十八年法律第四十三号,兼営法,,,
昭和二十一年法律第二十四号（法人に対する政府の財政援助の制限に関する法律）,昭和二十一年法律第二十四号,財政援助制限法,,,
労働関係調整法,昭和二十一年法律第二十五号,労働三法,労調法,,
物価統制令,昭和二十一年勅令第百十八号,物統令,,,
労働関係調整法施行令,昭和二十一年勅令第四百七十八号,労調法施行令,,,
予算決算及び会計令臨時特例,昭和二十一年勅令第五百五十八号,予決令臨時特例,,,
学校教育法,昭和二十二年法律第二十六号,学教法,,,
労働基準法,昭和二十二年法律第四十九号,労基法,,,
労働者災害補償保険法,昭和二十二年法律第五十号,労災法,労災保険法,,
昭和二十二年法律第五十四号（私的独占の禁止及び公正取引の確保に関する法律）,昭和二十二年法律第五十四号,独占禁止法,独禁法,,
下級裁判所の設立及び管轄区域に関する法律,昭和二十二年法律第六十三号,下級裁設立管轄区域法,,,
地方自治法,昭和二十二年法律第六十七号,地自法,,,
国家公務員法,昭和二十二年法律第百二十号,国公法,,,
国家賠償法,昭和二十二年法律第百二十五号,国賠法,,,
農業協同組合法,昭和二十二年法律第百三十二号,農協法,,,
職業安定法,昭和二十二年法律第百四十一号,職安法,,,
児童福祉法,昭和二十二年法律第百六十四号,児福法,,,
昭和二十二年法律第百七十五号（災害被害者に対する租税の減免、徴収猶予等に関する法律）,昭和二十二年法律第百七十五号,災害減免法,,,
農業保険法,昭和二十二年法律第百八十五号,農災法,,,
国の利害に関係のある訴訟についての法務大臣の権限等に関する法律,昭和二十二年法律第百九十四号,法務大臣権限法,,,
あん摩マツサージ指圧師、はり師、きゆう師等に関する法律,昭和二十二年法律第二百十七号,あはき法,,,
国会議員の歳費、旅費及び手当等に関する法律,昭和二十二年法律第八十号,歳費法,国会議員歳費法,,
最高裁判所裁判官国民審査法,昭和二十二年法律第百三十六号,国民審査法,,,
議院における証人の宣誓及び証言等に関する法律,昭和二十二年法律第二百二十五号,議院証言法,,,
地方自治法施行令,昭和二十二年政令第十六号,地自法施行令,,,
地方自治法施行規程,昭和二十二年政令第十九号,地自法施行規程,,,
昭和二十二年政令第五十二号（ポツダム宣言の受諾に伴い発する命令に関する件に基く陸軍刑法を廃止する等の政令）　抄,昭和二十二年政令第五十二号,ポツダム宣言の受諾に伴い発する命令に関する件に基く陸軍刑法を廃止する等の政令,,,
昭和二十二年政令第二百六十八号（災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令）,昭和二十二年政令第二百六十八号,災害減免法の施行に関する政令,,,
予算決算及び会計令,昭和二十二年勅令第百六十五号,予決令,,,
地方自治法施行規則,昭和二十二年内務省令第二十九号,地自法施行規則,,,
学校教育法施行規則,昭和二十二年文部省令第十一号,学教法施行規則,,,
労働基準法施行規則,昭和二十二年厚生省令第二十三号,労基法施行規則,,,
職業安定法施行規則,昭和二十二年労働省令第十二号,職安法施行規則,,,
金融商品取引法,昭和二十三年法律第二十五号,証取法,金商法,,
墓地、埋葬等に関する法律,昭和二十三年法律第四十八号,墓地埋葬法,,,
裁判官の報酬等に関する法律,昭和二十三年法律第七十五号,裁判官報酬法,,,
検察官の俸給等に関する法律,昭和二十三年法律第七十六号,検察官俸給法,,,
地方財政法,昭和二十三年法律第百九号,地財法,,,
風俗営業等の規制及び業務の適正化等に関する法律,昭和二十三年法律第百二十二号,風営法,風適法,風営適正化法,
刑事訴訟法,昭和二十三年法律第百三十一号,刑訴法,,,
教科書の発行に関する臨時措置法,昭和二十三年法律第百三十二号,教科書発行法,,,
警察官職務執行法,昭和二十三年法律第百三十六号,警職法,,,
化製場等に関する法律,昭和二十三年法律第百四十号,化製場法,,,
検察審査会法,昭和二十三年法律第百四十七号,検審法,,,
損害保険料率算出団体に関する法律,昭和二十三年法律第百九十三号,料団法,,,
消費生活協同組合法,昭和二十三年法律第二百号,生協法,,,
保健師助産師看護師法,昭和二十三年法律第二百三号,保助看法,,,
水産業協同組合法,昭和二十三年法律第二百四十二号,水協法,,,
刑事訴訟法施行法　抄,昭和二十三年法律第二百四十九号,刑訴法施行法　抄,,,
国民の祝日に関する法律,昭和二十三年法律第百七十八号,国民祝日法,祝日法,,
消防法,昭和二十三年法律第百八十六号,保安四法,,,
政治資金規正法,昭和二十三年法律第百九十四号,政治資金法,,,
自転車競技法,昭和二十三年法律第二百九号,競輪法,,,
児童福祉法施行令,昭和二十三年政令第七十四号,児福法施行令,,,
最高裁判所裁判官国民審査法施行令,昭和二十三年政令第百二十二号,国民審査法施行令,,,
地方財政法施行令,昭和二十三年政令第二百六十七号,地財法施行令,,,
私的独占の禁止及び公正取引の確保に関する法律の調査手続における参考人及び鑑定人の旅費及び手当に関する政令,昭和二十三年政令第三百三十二号,独占禁止法の調査手続における参考人及び鑑定人の旅費及び手当に関する政令,独禁法の調査手続における参考人及び鑑定人の旅費及び手当に関する政令,,
検察審査会法施行令,昭和二十三年政令第三百五十四号,検審法施行令,,,
最高裁判所裁判官国民審査法施行規則,昭和二十三年総理庁令第二十九号,国民審査法施行規則,,,
教科書の発行に関する臨時措置法施行規則,昭和二十三年文部省令第十五号,教科書発行法施行規則,,,
